Date,Open,High,Low,Close,Adj Close,Volume
2010-04-27,129.899994,132.000000,128.710007,128.820007,102.785706,10916700
2010-04-28,129.399994,130.470001,129.029999,130.100006,103.807014,7122300
2010-04-29,130.550003,131.210007,130.149994,130.460007,104.094269,5786900
2010-04-30,130.429993,130.639999,128.839996,129.000000,102.929306,6266700
2010-05-03,129.389999,130.139999,128.800003,129.600006,103.408043,4992100
2010-05-04,128.889999,128.929993,126.570000,128.119995,102.227158,8285000
2010-05-05,127.120003,128.229996,126.870003,127.459999,101.700539,6072800
2010-05-06,126.290001,127.930000,116.000000,123.919998,99.382797,13168800
2010-05-07,123.360001,124.389999,120.000000,122.099998,97.923180,10584800
2010-05-10,126.269997,126.669998,125.059998,126.269997,101.267502,8463900
2010-05-11,125.209999,128.419998,125.150002,126.889999,101.764740,6498900
2010-05-12,127.160004,132.850006,127.010002,132.679993,106.408241,16626900
2010-05-13,130.929993,133.100006,130.850006,131.479996,105.445847,10497800
2010-05-14,131.059998,131.669998,129.410004,131.190002,105.213287,9920100
2010-05-17,130.679993,131.759995,128.699997,130.440002,104.611794,8923400
2010-05-18,131.259995,131.990005,129.899994,129.949997,104.218834,9330000
2010-05-19,129.369995,130.500000,127.820000,128.860001,103.344650,8669300
2010-05-20,127.220001,127.959999,123.680000,123.800003,99.286530,13176500
2010-05-21,122.160004,125.610001,121.400002,125.419998,100.585770,12639500
2010-05-24,125.260002,126.019997,124.040001,124.449997,99.807846,6868600
2010-05-25,121.470001,124.949997,121.470001,124.519997,99.863991,9494800
2010-05-26,124.889999,125.940002,123.000000,123.230003,98.829422,9083200
2010-05-27,125.050003,126.389999,124.769997,126.389999,101.363708,7725900
2010-05-28,125.959999,126.279999,124.290001,125.260002,100.457474,7421900
2010-06-01,124.690002,126.879997,124.199997,124.339996,99.719643,7135400
2010-06-02,124.849998,127.500000,124.349998,127.410004,102.181747,7705300
2010-06-03,127.750000,128.220001,126.459999,127.959999,102.622841,6645300
2010-06-04,126.370003,127.099998,124.669998,125.279999,100.473511,9669200
2010-06-07,125.570000,125.860001,124.129997,124.129997,99.551224,6951400
2010-06-08,124.260002,124.459999,122.820000,123.720001,99.222389,8399200
2010-06-09,124.830002,125.839996,123.580002,123.900002,99.366760,7795500
2010-06-10,125.989998,128.220001,125.800003,127.680000,102.398285,7479700
2010-06-11,126.730003,128.800003,126.440002,128.449997,103.015808,5820200
2010-06-14,128.500000,129.970001,128.490005,128.500000,103.055931,6753000
2010-06-15,128.929993,129.949997,128.369995,129.789993,104.090477,6652500
2010-06-16,128.339996,130.679993,128.339996,130.350006,104.539619,6401000
2010-06-17,130.070007,131.029999,129.860001,130.979996,105.044846,5571000
2010-06-18,131.020004,131.250000,130.130005,130.149994,104.379227,9581400
2010-06-21,131.419998,131.940002,130.220001,130.649994,104.780205,6857800
2010-06-22,130.369995,131.470001,129.070007,129.300003,103.697510,6030200
2010-06-23,129.250000,131.470001,129.089996,130.110001,104.347107,6855800
2010-06-24,129.570007,129.729996,127.699997,128.190002,102.807297,5565500
2010-06-25,128.339996,129.100006,127.120003,127.120003,101.949173,10420400
2010-06-28,127.650002,129.470001,127.220001,128.979996,103.440887,6335100
2010-06-29,127.349998,128.399994,124.120003,125.089996,100.321136,9376200
2010-06-30,124.830002,125.220001,123.000000,123.480003,99.029922,8018000
2010-07-01,123.550003,124.209999,121.610001,122.570000,98.300117,9742100
2010-07-02,123.290001,123.290001,120.610001,121.860001,97.730698,6454500
2010-07-06,123.580002,124.629997,122.169998,123.459999,99.013863,6348700
2010-07-07,123.470001,127.120003,123.470001,127.000000,101.852921,7090300
2010-07-08,127.370003,128.149994,126.739998,127.970001,102.630882,5439300
2010-07-09,127.900002,128.199997,127.290001,127.959999,102.622841,3898000
2010-07-12,127.370003,128.830002,127.160004,128.669998,103.192261,4206900
2010-07-13,128.970001,130.979996,128.690002,130.479996,104.643852,6687700
2010-07-14,129.320007,131.600006,129.139999,130.720001,104.836327,6607200
2010-07-15,129.869995,130.919998,129.550003,130.720001,104.836327,6186800
2010-07-16,129.960007,130.149994,127.849998,128.029999,102.678978,7002900
2010-07-19,128.669998,130.380005,128.369995,129.789993,104.090477,8388600
2010-07-20,122.970001,126.559998,122.930000,126.550003,101.492043,16337400
2010-07-21,126.440002,126.500000,124.620003,125.269997,100.465508,8615500
2010-07-22,126.320000,127.779999,126.050003,127.470001,102.229881,6909000
2010-07-23,127.300003,128.800003,127.000000,128.380005,102.959671,5078000
2010-07-26,128.179993,128.429993,127.139999,128.410004,102.983749,5174900
2010-07-27,128.779999,129.169998,127.889999,128.630005,103.160187,4648200
2010-07-28,128.669998,129.350006,127.879997,128.429993,102.999786,4248800
2010-07-29,129.059998,129.500000,127.139999,128.020004,102.670990,8994200
2010-07-30,127.430000,128.979996,127.040001,128.399994,102.975716,6021000
2010-08-02,129.250000,131.199997,129.250000,130.759995,104.868393,6437500
2010-08-03,130.029999,131.039993,129.330002,130.369995,104.555649,5091800
2010-08-04,130.460007,131.500000,129.850006,131.270004,105.277435,4567500
2010-08-05,130.729996,131.979996,130.529999,131.830002,105.726555,4520600
2010-08-06,130.410004,130.479996,128.759995,130.139999,104.888344,6136200
2010-08-09,130.789993,132.339996,130.399994,132.000000,106.387466,6131700
2010-08-10,131.179993,132.490005,130.770004,131.839996,106.258492,5471700
2010-08-11,130.690002,130.690002,129.460007,129.830002,104.638496,6316100
2010-08-12,127.690002,128.779999,127.519997,128.300003,103.405380,5132200
2010-08-13,127.959999,128.460007,127.330002,127.870003,103.058815,4669400
2010-08-16,127.470001,128.229996,126.959999,127.769997,102.978226,4009200
2010-08-17,128.830002,129.850006,127.900002,128.449997,103.526268,4298300
2010-08-18,128.869995,130.199997,127.800003,129.389999,104.283897,4883200
2010-08-19,128.669998,129.589996,128.020004,128.899994,103.888947,5402400
2010-08-20,128.720001,128.979996,126.959999,127.500000,102.760612,6246300
2010-08-23,127.570000,128.029999,126.440002,126.470001,101.930443,4034400
2010-08-24,125.209999,126.019997,124.570000,124.900002,100.665092,5621200
2010-08-25,124.570000,125.599998,124.000000,125.269997,100.963310,5235300
2010-08-26,125.779999,125.779999,122.779999,122.779999,98.956451,7746600
2010-08-27,123.830002,124.800003,122.419998,124.730003,100.528084,6214200
2010-08-30,125.080002,125.269997,123.400002,123.400002,99.456131,3604000
2010-08-31,123.309998,123.989998,122.279999,123.129997,99.238533,5624200
2010-09-01,125.309998,126.309998,124.519997,125.769997,101.366280,5623100
2010-09-02,126.029999,126.230003,124.650002,125.040001,100.777924,5103300
2010-09-03,126.220001,127.599998,125.900002,127.580002,102.825073,5142900
2010-09-07,126.989998,127.360001,125.879997,125.949997,101.511360,4353300
2010-09-08,126.019997,126.519997,125.389999,126.080002,101.616127,4477500
2010-09-09,127.269997,127.570000,126.150002,126.360001,101.841789,3436700
2010-09-10,126.989998,128.289993,126.260002,127.989998,103.155518,4418700
2010-09-13,128.630005,130.000000,128.520004,129.610001,104.461205,5271300
2010-09-14,128.429993,129.919998,128.429993,128.850006,103.848656,4850500
2010-09-15,128.649994,129.960007,128.539993,129.429993,104.316116,4762500
2010-09-16,129.199997,129.949997,128.800003,129.669998,104.509544,4685000
2010-09-17,129.919998,130.600006,129.699997,130.190002,104.928665,10397400
2010-09-20,130.240005,132.089996,130.110001,131.789993,106.218185,7145500
2010-09-21,131.449997,132.800003,130.779999,131.979996,106.371330,5267900
2010-09-22,131.610001,132.580002,131.399994,132.570007,106.846863,4922400
2010-09-23,131.419998,132.779999,131.220001,131.669998,106.121483,3898800
2010-09-24,132.419998,134.149994,132.339996,134.110001,108.088036,7122400
2010-09-27,133.509995,135.000000,133.509995,134.649994,108.523239,6155400
2010-09-28,134.669998,135.139999,133.710007,134.889999,108.716690,7481300
2010-09-29,134.399994,135.800003,134.339996,135.479996,109.192207,5151200
2010-09-30,135.500000,136.110001,133.669998,134.139999,108.112221,6425800
2010-10-01,135.509995,136.279999,135.089996,135.639999,109.321159,5621200
2010-10-04,135.229996,135.919998,134.389999,135.250000,109.006844,4059900
2010-10-05,136.179993,137.899994,136.119995,137.660004,110.949203,6202500
2010-10-06,136.880005,137.960007,136.830002,137.839996,111.094299,4783000
2010-10-07,137.919998,138.880005,137.520004,138.720001,111.803520,6440800
2010-10-08,138.399994,139.089996,138.059998,138.850006,111.908295,4540800
2010-10-11,138.789993,139.940002,138.639999,139.660004,112.561157,4004300
2010-10-12,138.399994,139.990005,138.270004,139.850006,112.714279,5637300
2010-10-13,139.910004,141.479996,139.779999,140.369995,113.133392,8784300
2010-10-14,140.350006,141.500000,139.690002,141.500000,114.044128,5653100
2010-10-15,142.100006,142.100006,140.539993,141.059998,113.689499,7220400
2010-10-18,140.899994,143.029999,140.839996,142.830002,115.116043,10322700
2010-10-19,137.300003,139.339996,136.699997,138.029999,111.247437,14159100
2010-10-20,138.279999,139.869995,138.130005,139.070007,112.085640,6945500
2010-10-21,139.809998,140.490005,138.399994,139.830002,112.698166,6221200
2010-10-22,140.149994,140.750000,139.460007,139.669998,112.569206,4105300
2010-10-25,140.419998,141.399994,139.809998,139.839996,112.706223,4870000
2010-10-26,139.289993,142.000000,138.529999,140.669998,113.375145,7327100
2010-10-27,139.520004,141.570007,139.000000,141.429993,113.987709,6465300
2010-10-28,141.839996,141.949997,140.419998,140.899994,113.560547,5481600
2010-10-29,140.899994,144.000000,140.750000,143.600006,115.736671,8439300
2010-11-01,143.639999,144.259995,142.320007,143.320007,115.511009,5674600
2010-11-02,143.850006,144.710007,143.710007,143.839996,115.930084,4626400
2010-11-03,144.240005,144.460007,142.630005,144.169998,116.196045,5182100
2010-11-04,144.820007,146.839996,144.710007,146.789993,118.307693,6622500
